condition,seed,step,training_loss
raw,43,49,2.867229461669922
raw,43,50,2.88938570022583
raw,43,51,2.7467098236083984
raw,43,52,3.094796895980835
raw,43,53,2.8149919509887695
raw,43,54,3.0813424587249756
raw,43,55,2.7759592533111572
raw,43,56,2.7988393306732178
raw,43,57,2.8490617275238037
raw,43,58,3.0111148357391357
raw,43,59,2.6821908950805664
raw,43,60,2.5208144187927246
raw,43,61,2.7499806880950928
raw,43,62,2.7900679111480713
raw,43,63,2.507251501083374
raw,43,64,2.4926798343658447
raw,43,65,2.3743042945861816
raw,43,66,2.5009543895721436
raw,43,67,2.702510356903076
raw,43,68,2.785482883453369
raw,43,69,2.7609236240386963
raw,43,70,2.7890172004699707
raw,43,71,2.3089969158172607
raw,43,72,2.0212364196777344
raw,43,73,2.7124345302581787
raw,43,74,2.539677858352661
raw,43,75,2.622771978378296
raw,43,76,2.489901542663574
raw,43,77,2.4290499687194824
raw,43,78,2.5023584365844727
raw,43,79,2.307100534439087
raw,43,80,2.5025835037231445
cleaned,43,1,5.766360759735107
cleaned,43,2,5.666930675506592
cleaned,43,3,5.531384468078613
cleaned,43,4,5.359261512756348
cleaned,43,5,5.216300964355469
cleaned,43,6,5.078826904296875
cleaned,43,7,4.956148147583008
cleaned,43,8,4.834381103515625
cleaned,43,9,4.699076175689697
cleaned,43,10,4.5752763748168945
cleaned,43,11,4.462333679199219
cleaned,43,12,4.3510332107543945
cleaned,43,13,4.235623836517334
cleaned,43,14,4.126894474029541
cleaned,43,15,4.061861515045166
cleaned,43,16,3.9389188289642334
cleaned,43,17,3.8936808109283447
cleaned,43,18,3.7971763610839844
cleaned,43,19,3.6914405822753906
cleaned,43,20,3.656667947769165
cleaned,43,21,3.621525764465332
cleaned,43,22,3.5995073318481445
cleaned,43,23,3.5297298431396484
cleaned,43,24,3.5197460651397705
cleaned,43,25,3.471554756164551
cleaned,43,26,3.454387664794922
cleaned,43,27,3.485297203063965
cleaned,43,28,3.3718976974487305
cleaned,43,29,3.355032444000244
cleaned,43,30,3.3426599502563477
cleaned,43,31,3.3779296875
cleaned,43,32,3.290318250656128
cleaned,43,33,3.3189897537231445
cleaned,43,34,3.296311616897583
cleaned,43,35,3.2697255611419678
cleaned,43,36,3.2820496559143066
cleaned,43,37,3.256805896759033
cleaned,43,38,3.2572484016418457
cleaned,43,39,3.261021614074707
cleaned,43,40,3.1844050884246826
cleaned,43,41,3.3149123191833496
cleaned,43,42,3.1371872425079346
cleaned,43,43,3.1450343132019043
cleaned,43,44,3.15104341506958
cleaned,43,45,3.1101858615875244
cleaned,43,46,3.091033697128296
cleaned,43,47,3.1067163944244385
cleaned,43,48,3.1007285118103027
cleaned,43,49,3.023794651031494
cleaned,43,50,3.0369205474853516
cleaned,43,51,2.995771646499634
cleaned,43,52,2.9888317584991455
cleaned,43,53,3.029057502746582
cleaned,43,54,2.9941511154174805
cleaned,43,55,2.9376845359802246
cleaned,43,56,2.8797247409820557
cleaned,43,57,2.799229621887207
cleaned,43,58,2.9062726497650146
cleaned,43,59,2.9123919010162354
cleaned,43,60,2.7403080463409424
cleaned,43,61,2.7466773986816406
cleaned,43,62,2.825040578842163
cleaned,43,63,2.770188808441162
cleaned,43,64,2.8209314346313477
cleaned,43,65,2.68487548828125
cleaned,43,66,2.6700286865234375
cleaned,43,67,2.631835460662842
cleaned,43,68,2.694338083267212
cleaned,43,69,2.6645259857177734
cleaned,43,70,2.6801435947418213
cleaned,43,71,2.6525683403015137
cleaned,43,72,2.5601329803466797
cleaned,43,73,2.529562473297119
cleaned,43,74,2.6382386684417725
cleaned,43,75,2.5052366256713867
cleaned,43,76,2.448692798614502
cleaned,43,77,2.4324307441711426
cleaned,43,78,2.417694330215454
cleaned,43,79,2.424966335296631
cleaned,43,80,2.3361940383911133
